Year,0.5 Ratio,0.75 Ratio,1 Ratio,1.25 Ratio,1.5 Ratio,1.75 Ratio,2 Ratio
2020,5.5,8.1,11.4,15.3,19.4,23.4,27.5
2019,4.7,7,10.5,14.3,18.1,22.2,26.3
2018,5.3,8.2,11.8,16,20.1,24.4,28.9
2017 (1),5.6,8.5,12.3,16.6,20.9,25.3,29.6
2017,5.7,8.7,12.3,16.7,21,25.3,29.7
2016,5.8,8.9,12.7,17,21.2,25.5,29.8
2015,6.1,9.4,13.5,17.9,22.5,27,31.7
2014,6.6,10.2,14.8,19.4,24.1,28.9,33.4
2013 (2),6.5,10.1,14.8,19.3,24.4,29.1,33.5
2013 (3),6.3,10,14.5,19.2,24.3,29.2,33.9
2012,6.6,10.4,15,19.7,24.6,29.7,34.2
2011,6.6,10.3,15,19.8,24.8,29.7,34.4
2010 (4),6.7,10.5,15.1,19.8,24.7,29.2,34
2009,6.3,9.9,14.3,18.7,23.6,28.5,33
2008,5.7,9.1,13.2,17.9,22.6,27.3,31.9
2007,5.2,8.4,12.5,17,21.8,26.1,30.5
2006,5.2,8.5,12.3,16.8,21.3,25.8,30.5
2005,5.4,8.6,12.6,16.8,21.5,26.1,31
2004 (5),5.4,8.6,12.7,17.1,21.6,26.6,31.3
2003,5.3,8.5,12.5,16.9,21.7,26.5,31.1
2002,4.9,8.1,12.1,16.5,21.4,26.1,30.5
2001,4.8,7.8,11.7,16.1,20.8,25.6,30.2
2000 (6),4.5,7.5,11.3,15.6,20.2,24.9,29.3
1999 (7),4.7,7.9,11.9,16.3,21.1,25.8,30.3
1998,5.1,8.5,12.7,17,21.5,26,30.8
1997,5.4,9,13.3,17.8,22.5,27.2,32.1
1996,5.4,9.3,13.7,18.5,23.4,28.5,33.5
1995 (8),5.3,9.3,13.8,18.5,23.5,28.6,33.6
1994 (9),5.9,10.1,14.5,19.3,24.3,29.3,34.3
1993 (10),6.2,10.5,15.1,20,25,30.3,35.2
1992 (11),6.1,10.2,14.8,19.7,24.5,29.4,34.4
1991 (12),5.6,9.7,14.2,18.9,23.8,28.7,33.5
1990,5.2,9.1,13.5,18,22.7,27.6,32.3
1989,4.9,8.4,12.8,17.3,22,26.6,31.4
1988 (13),5.2,8.8,13,17.5,22.2,26.8,31.7
1987 (13),5.2,9,13.4,17.9,22.3,26.9,31.7
1986,5.3,9.4,14,18.7,23.9,28.9,33.9
1985 (14),5.2,9.4,13.6,18.7,23.9,28.9,33.9
1984 (15),5.5,9.7,14.4,19.4,24.3,29.3,34.6
1983,5.9,10.2,15.2,20.3,25.6,30.8,36.1
1982,5.6,10.1,15,20.3,25.5,30.9,36.6
1981 (16),4.9,9.1,14,19.3,24.7,30.1,35.7
1980,4.4,8.3,13,18.1,23.1,28.4,33.9
1979 (17),3.8,7.3,11.7,16.4,21.1,26.1,31.3
1978,3.6,6.9,11.4,15.8,20.5,25.9,31
1977,3.5,7,11.6,16.7,21.8,27.2,32.7
1976,3.3,7,11.8,16.7,22.2,27.8,33.5
1975,3.7,7.3,12.3,17.6,23.3,28.8,34.6