Region,State,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,Massachusetts,8.508333333,8.866666667,7.575,6.45,6.866666667,5.95,4.725,3.891666667,3.716666667,3.4,2.9,9.4,5.7
0,Rhode Island,11.99166667,12.04166667,10.80833333,10.75833333,9.116666667,7.966666667,5.783333333,5.208333333,4.458333333,4,3.6,9.2,5.6
0,Connecticut,8.025,9.016666667,8.891666667,8.325,7.941666667,6.716666667,5.7,5.166666667,4.666666667,4.1,3.7,7.8,6.3
0,Vermont,6.883333333,6.125,5.525,5.008333333,4.383333333,3.858333333,3.708333333,3.241666667,3.008333333,2.5,2.4,5.6,3.4
0,New Hampshire,6.466666667,6.116666667,5.191666667,5.375,5.308333333,4.466666667,3.625,2.858333333,2.683333333,2.6,2.5,6.7,3.5
0,New York ,8.358333333,8.391666667,8.016666667,8.633333333,7.733333333,6.45,5.358333333,4.85,4.7,4.1,4,9.9,6.9
0,Maine,8.216666667,7.883333333,7.483333333,7.341666667,6.858333333,5.75,4.583333333,3.783333333,3.316666667,3.2,3,5,4.6
0,Pennsylvania,8.225,8.958333333,7.866666667,7.75,7.608333333,5.666666667,5.225,5.4,4.891666667,4.2,4.4,9.1,6.3
0,New Jersey,9.041666667,9.575,9.258333333,9.441666667,8.566666667,6.708333333,5.941666667,4.983333333,4.616666667,4.1,3.6,9.5,6.3
1,District of Columbia,10.78333333,10.46666667,10.28333333,9.108333333,8.558333333,7.475,7.091666667,6.108333333,6.066666667,5.7,5.5,8,6.6
1,Florida,10.41666667,11.88333333,10.725,8.733333333,7.05,6.108333333,5.4,4.825,4.15,3.6,3.1,8.2,4.6
1,Georgia,9.791666667,10.15833333,10.05,8.95,8.308333333,7.375,6.016666667,5.366666667,4.75,3.9,3.4,6.5,3.9
1,North Carolina,10.80833333,10.23333333,9.991666667,9.541666667,8.566666667,6.333333333,5.641666667,5.091666667,4.55,4,3.9,7.1,4.8
1,South Carolina,11.7,11.25833333,10.31666667,9.016666667,7.925,6.016666667,6.225,4.975,4.258333333,3.5,2.8,6,4
1,Virginia,6.725,6.975,6.25,5.708333333,5.483333333,5.141666667,4.583333333,4.091666667,3.75,3,2.8,6.2,3.9
1,Alabama,9.816666667,10,9.366666667,7.741666667,6.608333333,6.516666667,6,5.858333333,4.408333333,3.9,3,6.5,3.4
1,West Virginia,8.033333333,9.125,8.533333333,7.241666667,6.45,6.233333333,6.858333333,6.083333333,5.183333333,5.2,4.9,8.2,5
1,Kentucky,10.375,10.31666667,9.766666667,8.391666667,8.166666667,7.108333333,5.125,5.15,4.925,4.3,4.3,6.4,4.7
1,Louisiana,6.7,7.416666667,7.525,6.891666667,6.475,5.408333333,6.391666667,6.058333333,5.15,4.9,4.8,8.7,5.5
1,Tennessee,10.2,9.983333333,9.533333333,8.041666667,8.158333333,6.866666667,5.916666667,4.725,3.716666667,3.5,3.4,7.4,4.3
1,Mississippi,9.441666667,10.69166667,10.35833333,9,8.816666667,7.608333333,6.5,5.841666667,5.108333333,4.8,5.4,7.9,5.6
1,Delaware,8.05,8.666666667,8.066666667,6.841666667,7.05,6.066666667,4.825,4.525,4.566666667,3.8,3.8,7.6,5.3
1,Maryland,7.083333333,7.408333333,7.041666667,6.741666667,6.675,5.825,5.25,4.433333333,4.125,3.9,3.6,6.7,5.8
1,Arkansas,7.041666667,7.691666667,7.975,7.275,7.325,6.391666667,5.408333333,3.95,3.666666667,3.6,3.5,6.1,4
2,Illinois,9.941666667,10.46666667,9.4,8.858333333,9.108333333,7.3,5.816666667,5.816666667,4.975,4.3,4,9.2,6.1
2,Indiana,9.933333333,9.933333333,8.683333333,8.166666667,8.1,5.858333333,5.008333333,4.425,3.55,3.5,3.3,7.2,3.6
2,Iowa,6,6.708333333,5.975,5.183333333,4.691666667,4.4,3.75,3.608333333,3.133333333,2.6,2.7,5.1,4.2
2,Kansas,6.608333333,6.591666667,6.641666667,5.966666667,5.558333333,4.716666667,4.283333333,4.033333333,3.625,3.3,3.2,5.7,3.2
2,Michigan,14.025,13.28333333,10.44166667,8.858333333,8.725,7.316666667,5.4,4.991666667,4.625,4.1,4.1,10,5.9
2,Minnesota,7.866666667,7.075,6.591666667,5.7,5.133333333,4.35,3.75,3.858333333,3.458333333,2.9,3.2,6.3,3.4
2,Wisconsin,8.416666667,8.108333333,7.508333333,6.95,6.775,5.666666667,4.516666667,4.008333333,3.3,3,3.3,6.3,3.8
2,Ohio,10.34166667,10.375,8.858333333,7.208333333,7.191666667,5.691666667,4.891666667,5.05,5.041666667,4.5,4.1,8.2,5.1
2,Missouri,9.008333333,9.358333333,8.8,7.133333333,6.658333333,6.233333333,5.391666667,4.575,3.741666667,3.2,3.3,6.1,4.4
2,Nebraska,4.65,4.741666667,4.166666667,3.891666667,3.883333333,3.475,2.75,3.091666667,2.933333333,2.9,3,4.1,2.5
2,North Dakota,4.225,3.808333333,3.441666667,3.05,3.016666667,2.7,2.916666667,3.058333333,2.591666667,2.6,2.4,5.1,3.7
2,South Dakota,4.841666667,4.583333333,4.658333333,4.358333333,3.95,3.575,3.466666667,3,3.325,3.1,3.3,4.3,3.1
3,Arizona,8.458333333,9.525,9.216666667,8.266666667,7.975,7,6.133333333,5.375,4.858333333,4.7,4.7,7.7,4.9
3,New Mexico,6.808333333,8.45,7.2,6.658333333,6.691666667,6.583333333,6.425,6.683333333,6.158333333,4.9,4.9,8.1,6.8
3,Oklahoma,6.325,6.8,5.891666667,5.233333333,5.208333333,4.658333333,4.225,4.816666667,4.291666667,3.4,3.3,6.2,3.8
3,Texas,7.466666667,8.216666667,8.208333333,6.85,6.333333333,5.208333333,4.316666667,4.641666667,4.258333333,3.8,3.5,7.7,5.7
4,Hawaii,6.991666667,6.55,6.275,6.041666667,4.675,4.325,3.733333333,2.95,2.358333333,2.5,2.7,12,5.7
4,Montana,6.325,7.183333333,7.425,6.158333333,5.391666667,4.691666667,4.075,4.133333333,4.041666667,3.6,3.5,5.8,3.4
4,Nevada,11.75833333,13.96666667,13.05833333,11.69166667,9.433333333,7.725,6.841666667,5.733333333,5.041666667,4.4,3.9,13.5,7.2
4,Alaska,8.383333333,8.1,7.491666667,7.166666667,6.333333333,6.541666667,6.533333333,6.908333333,7.141666667,6.5,6.1,8.2,6.4
4,California,11.61666667,12.43333333,11.84166667,10.53333333,8.891666667,7.55,6.216666667,5.483333333,4.775,4.3,4,10.2,7.3
4,Colorado,7.275,8.1,8.575,7.941666667,6.908333333,5.266666667,4.075,3.275,2.808333333,3.2,2.8,6.9,5.4
4,Idaho,8.108333333,9.15,9.233333333,7.466666667,6.341666667,4.683333333,3.983333333,3.766666667,3.175,2.9,2.9,5.5,3.6
4,Oregon,11.53333333,10.58333333,9.591666667,8.608333333,7.883333333,6.941666667,5.733333333,4.816666667,4.141666667,4.1,3.7,7.6,5.2
4,Utah,5.741666667,7.3,7.241666667,5.658333333,4.708333333,3.683333333,3.508333333,3.441666667,3.258333333,3,2.6,4.7,2.7
4,Washington,9.066666667,9.175,9.058333333,8.225,7.008333333,6.041666667,5.55,5.275,4.775,4.5,4.3,8.5,5.2
4,Wyoming,5.791666667,6.941666667,5.941666667,5.333333333,4.65,4.258333333,4.075,5.275,4.191666667,3.9,3.6,5.8,4.5
,,,,,,,,,,,,,,